POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1583978081500286976,,,@ThtKashmiriGuy @prafullaketkar @amritabhinder @KapilMishra_IND @smritiirani Well done 👍,Caption,NA,,,,,,
P:1583978081500286976,,,@ThtKashmiriGuy @prafullaketkar @amritabhinder @KapilMishra_IND @smritiirani Well done 👍,Additional Comment,NA,,,,,,
P:1583978081500286976,,,@ThtKashmiriGuy @prafullaketkar @amritabhinder @KapilMishra_IND @smritiirani Very nyce,Additional Comment,NA,,,,,,
P:1583978051657904128,,,"RT @ThtKashmiriGuy: Indian Army launched a Swift rescue operation in Gurez sector of Kashmir 🍁 to save a precious Life

Operation lasted fo…",Caption,NA,,,,,,
P:1583873315503906817,,,"Hey @KhaledBeydoun look what your uncle is doing...!!!!
@Reuters @nypost @FoxNews @RNCResearch @washingtonpost @smh @TarekFatah @ThtKashmiriGuy @TheDeepak2022  @TajinderBagga https://t.co/9xkY8kia5A",Caption,https://t.co/9xkY8kia5A,,,,,,
P:1583777731820412928,,,"RT @ThtKashmiriGuy: Another Kashmiri Hindu Poran Krishen Bhat shot dead in Kashmir.

Day is not far when you will hear about Kashmiri Pandi…",Caption,NA,,,,,,
P:1583777682080219136,,U9yo9O6e1cpaEFQx.jpg,"RT @ThtKashmiriGuy: Being hindu, has become our crime!! https://t.co/zQrt54io8C",Caption,https://t.co/zQrt54io8C,,,,,,
P:1583777544331223040,,FfW601vakAEjA0Z.jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583741056428158978,,,"Save us 🙏❣️
#BJP jago
#KashmiriPandits 
@Kporgall 
@jammukasmirhc 
@pandits_kashmir 
@BattaKashmiri 
@ThtKashmiriGuy 
@spvaid 
@jammu_tweeter 
@official_Arnab_ 
@sudhirchaudhary 
@PTI_News 
@ANI 
@CNNnews18 
@BBCHindi 
@UN 
@UNICEF 
@TOIIndiaNews 
@GeneralBakshi 
@Tiny_Dhillon https://t.co/gYfiQNFAjx",Caption,https://t.co/gYfiQNFAjx,,,,,,
P:1583722843899994112,,,RT @sawarathiajss: @ThtKashmiriGuy All these wallah allah songs shud be banned frm hindu functions,Caption,NA,,,,,,
P:1583696220350205952,,,RT @hariom5sharma: @ThtKashmiriGuy @himantabiswa 😂😂😂,Caption,NA,,,,,,
P:1583491980662669312,,,@BefittingFacts @ThePollLady @JaipurDialogues @ThtKashmiriGuy @theskindoctor13 @thehawkeyex @iamkamyabuch https://t.co/Snh5ZvAEmv,Caption,https://t.co/Snh5ZvAEmv,,,,,,
P:1583481497356754945,,,"@ThtKashmiriGuy Very very painful to even see this, imagine what happens to those who have actually lost there loved one. Om Shanti.",Caption,NA,,,,,,
P:1583481497356754945,,,"@ThtKashmiriGuy Very very painful to even see this, imagine what happens to those who have actually lost there loved one. Om Shanti.",Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy https://t.co/kl3oJ3hpuk,Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy #HindusUnderAttack,Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy 😔 कब जागेंगे हिन्दू??,Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy We understand but do our @narendramodi and @AmitShah understand whom we voted?,Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy How many more Hindu Lives in Danger?,Additional Comment,NA,,,,,,
P:1583481497356754945,,,"@ThtKashmiriGuy 75 years ,  Brits handed over power to moguls khangrees jihade &amp; betrayed india &amp; hindu . But now ,since 2014, we bjp  have power . Enact hindu &amp; india protection law s. Implement 1947 division. Create anti jihade laws. last chance. Jai Hindustan.",Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy And here is bjp kashmir chief relentlessly appeasing mullahs of Kashmir..vote bank jo hai bjp ka..hindu chahe maare ya jiye ..inhe kya? Bas juta hindu muslim bhaichara failana hai https://t.co/qe4TGUwZOw,Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy 😪,Additional Comment,NA,,,,,,
P:1583481497356754945,,,@ThtKashmiriGuy Can't #Modi Ji shift all Hindus from #Kashmir to Jammu or any nearby place where they might live longer?,Additional Comment,NA,,,,,,
P:1583460956213940224,,,"@mowgli233 @AkashMi43542498 @realmeIndia Oh, thats oxymoron combo I felt. LOL
Most ppl who showcase progressive in all pride, often turns out to be cowards who spend their little courage in preaching Hndus what to do what not to do, but shiver if the matter ever is about the bl00dthirsty. so.. 
https://t.co/sESSuY2Jix",Caption,https://t.co/sESSuY2Jix,,,,,,
P:1583460956213940224,,,@realmeIndia What is your floor price send me DM on @NFTssaga,Additional Comment,NA,,,,,,
P:1583460956213940224,,,@realmeIndia Diwali is not only festival of Lights. Diwali is much more for Hindus. It is a 4 days long auspicious puja of Maa Lakhmi and Maa Kaali. Both are highly revered Devimaa in Hinduism. Light and Darkness.Everything and nothing.Possessions and renunciation.Don't make it a sales fest.,Additional Comment,NA,,,,,,
P:1583460956213940224,,,"@realmeIndia #Divali is gibberish.

#DiWali is colonial gibberish.

The W sound is a British infliction.

It is a rare sound even in Europe - and not represented
in Indian languages.

#Deepavali is a luminous Sanskrit word. An invaluable cultural heritage.

#BoloDeepavali #SayDeepavali https://t.co/VPPTWTqbZi",Additional Comment,NA,,,,,,
P:1583460956213940224,,,@realmeIndia Good morning! 💐,Additional Comment,NA,,,,,,
P:1583460956213940224,,,@realmeIndia इसको बायकॉट करवाने की खुजली काट रही है,Additional Comment,NA,,,,,,
P:1583460956213940224,,,@realmeIndia ನಂ ಪ್ಲೀಸ್,Additional Comment,NA,,,,,,
P:1583460956213940224,,,"@sushantify @realmeIndia FEED HUNGRY or ANIMALS IN #Diwali2022 celebration!

#BoycottBoolywood MAFIA!

@itsSSR @pallavict @OpIndia_com @KetakiChitale_ @Dev_Fadnavis @impriyankabjp @Shrie_V @Manasi71 @Asksindia_ @RashmiDVS @Sanjay_Dixit @PplOfIndia https://t.co/bAJ53R1RdO",Additional Comment,NA,,,,,,
P:1583460956213940224,,,"@realmeIndia The theme is nice but bro, Diwali has the first step as Puja of Ma Lakshmi. Everything that happens in Diwali is not even once shown in the ad, like
Who tf at @realmeIndia did this script?",Additional Comment,NA,,,,,,
P:1583460956213940224,,,@realmeIndia @BoycottRealMe,Additional Comment,NA,,,,,,
P:1583460956213940224,,,@realmeIndia Where is #LaxmiPoojan? That is the centre of #Deepawali !!!,Additional Comment,NA,,,,,,
P:1583346115885223937,,,"RT @ThtKashmiriGuy: Another Kashmiri Hindu Poran Krishen Bhat shot dead in Kashmir.

Day is not far when you will hear about Kashmiri Pandi…",Caption,NA,,,,,,
P:1583324607268159490,,FfW601vakAEjA0Z (1).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583221238121791489,,Ffi7UzOWAAIPqb9.jpg,@Varun_G_5 @ThtKashmiriGuy https://t.co/A3v08gco8U,Caption,https://t.co/A3v08gco8U,,,,,,
P:1583221238121791489,,,@Varun_G_5 @ThtKashmiriGuy https://t.co/A3v08gco8U,Additional Comment,NA,,,,,,
P:1583221238121791489,,,"@ThtKashmiriGuy I could look at Sachin, Ganguly and Dravid and VVS and know they repped India. Not sure about all this daari wale players.",Additional Comment,NA,,,,,,
P:1583221238121791489,,,@ThtKashmiriGuy 🤔,Additional Comment,NA,,,,,,
P:1583221238121791489,,,@ThtKashmiriGuy What else can be expected from them? They are just a bunch of rich chappris playing cricket. What they know about sacrifices made by real men? Even today's feminist girls will have more masculinity than these weak soft sensitive childrens.,Additional Comment,NA,,,,,,
P:1583221238121791489,,,@ThtKashmiriGuy Cricketers and bollywoodians are somewhat similar.,Additional Comment,NA,,,,,,
P:1583221238121791489,,,@ThtKashmiriGuy Ban cricket,Additional Comment,NA,,,,,,
P:1583221238121791489,,,@ThtKashmiriGuy @ImRo45 aur kitna chatoge ??,Additional Comment,NA,,,,,,
P:1583221238121791489,,,@puspakpatnaik @ThtKashmiriGuy Pehle maarte the kya? Itna pyaar kyon ISLAMIYON se? Jyaada jijya Dene ka Mann karta hai kya?,Additional Comment,NA,,,,,,
P:1583221238121791489,,,@ThtKashmiriGuy Exactly man. Where is the aggression. Everything is lost in this woke world i think.,Additional Comment,NA,,,,,,
P:1583221238121791489,,,@ThtKashmiriGuy True Bhai 👍,Additional Comment,NA,,,,,,
P:1583210428460462081,,FfW601vakAEjA0Z (2).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583133323588952065,,FfW601vakAEjA0Z (3).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583047790703546368,,FfW601vakAEjA0Z (4).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583042317300428801,,FfW601vakAEjA0Z (5).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583041401868398592,,,RT @shah_0601: @ThtKashmiriGuy Cricketers and bollywoodians are somewhat similar.,Caption,NA,,,,,,
P:1583041168329543682,,gKD8_YGYGBQhKqsf.jpg,RT @BHARATIYASEEKER: @ThtKashmiriGuy @VlKASPR0NAM0 https://t.co/HVLGDRrHml,Caption,https://t.co/HVLGDRrHml,,,,,,
P:1583041123391803393,,FfW601vakAEjA0Z (6).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583030572435525633,,FfW601vakAEjA0Z (7).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583011352913670144,,FfW601vakAEjA0Z (8).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1583009412813578241,,FfW601vakAEjA0Z (9).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582990651498844160,,FfW601vakAEjA0Z (10).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582984685789261824,,,"RT @follow2deep2: So basically, Parashuaram is what the current day human would be who could also use tools, in other words Homo Sapien.
@T…",Caption,NA,,,,,,
P:1582981021695627265,,FfW601vakAEjA0Z (11).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582978806935334912,,FffemmBacAAdzF1.jpg,Brilliant Tweet @ThtKashmiriGuy https://t.co/Rcp037tpQ4,Caption,https://t.co/Rcp037tpQ4,,,,,,
P:1582975912324124672,,FfW601vakAEjA0Z (12).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582964733518393345,,FfW601vakAEjA0Z (13).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582963667686998016,,FfW601vakAEjA0Z (14).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582958033541660672,,FfW601vakAEjA0Z (15).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582957690976112643,,FfW601vakAEjA0Z (16).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582955794177265664,,,RT @extremerage2: @ThtKashmiriGuy What else can be expected from them? They are just a bunch of rich chappris playing cricket. What they kn…,Caption,NA,,,,,,
P:1582955737797402624,,FfW601vakAEjA0Z (17).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582954262354857985,,FfW601vakAEjA0Z (18).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582945203618390016,,FfW601vakAEjA0Z (19).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582943307151265793,,FfW601vakAEjA0Z (20).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582938892155891712,,FfW601vakAEjA0Z (21).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582936386000551936,,U9yo9O6e1cpaEFQx (1).jpg,"RT @ThtKashmiriGuy: Being hindu, has become our crime!! https://t.co/zQrt54io8C",Caption,https://t.co/zQrt54io8C,,,,,,
P:1582929981025701888,,FfW601vakAEjA0Z (22).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582924211118837760,,FfW601vakAEjA0Z (23).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582912771356000256,,,@Sassy_Hindu @ThtKashmiriGuy Those things we can't ask 🤣🤣🤣,Caption,NA,,,,,,
P:1582912771356000256,,,@Sassy_Hindu @ThtKashmiriGuy Those things we can't ask 🤣🤣🤣,Additional Comment,NA,,,,,,
P:1582912771356000256,,,@dinesh1673 @Sassy_Hindu What happened?,Additional Comment,NA,,,,,,
P:1582912771356000256,,,"@dinesh1673 @Sassy_Hindu Unemployment at a 50 year high. The Youngest workfore of the world belongs to India. Without employment,how will the population survive high inflation. GST on every essential &amp; consumable. The guilty govt is providing miniscule ration to 80 crore equal citizens,since 9 months",Additional Comment,NA,,,,,,
P:1582912771356000256,,,@dinesh1673 @Sassy_Hindu That was a small story. Both paid. Ok.,Additional Comment,NA,,,,,,
P:1582912771356000256,,,@Thecorruptorr @Sassy_Hindu Wot happened after pulawama,Additional Comment,NA,,,,,,
P:1582912771356000256,,,@Thecorruptorr @Sassy_Hindu This is the reason congress kicked out. Fooling people,Additional Comment,NA,,,,,,
P:1582912771356000256,,,@Thecorruptorr @Sassy_Hindu Bhindranwale created by Indira to checkmate akalis and LTTE created by Rajiv and both paid the prices for creating monster.,Additional Comment,NA,,,,,,
P:1582912771356000256,,,"@Sassy_Hindu @group_mvm Leftists control the narratives to rubbish India, p@k1 money at work",Additional Comment,NA,,,,,,
P:1582912771356000256,,,"@sunalonie @Sassy_Hindu Oh. I thought you love drinking that cloudy water. The politicians ought to enforce the rules, guidelines by the Hon'ble SC.",Additional Comment,NA,,,,,,
P:1582912771356000256,,,"@Thecorruptorr @Sassy_Hindu You are saying that to a wrong guy , I don’t care for politicians 
I just need peace so stop spoiling my sleep with your nuisance",Additional Comment,NA,,,,,,
P:1582895755928670208,,FfW601vakAEjA0Z (24).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582890882508148739,,FfW601vakAEjA0Z (25).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582887094095347712,,FfW601vakAEjA0Z (26).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582886015622320128,,FfW601vakAEjA0Z (27).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582872743204114432,,FfW601vakAEjA0Z (28).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582872173324009472,,FfW601vakAEjA0Z (29).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582825090378448898,,FfW601vakAEjA0Z (30).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582810545161670657,,FfW601vakAEjA0Z (31).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582804643570413568,,,"@ThtKashmiriGuy I could look at Sachin, Ganguly and Dravid and VVS and know they repped India. Not sure about all this daari wale players.",Caption,NA,,,,,,
P:1582804643570413568,,,@Varun_G_5 @ThtKashmiriGuy https://t.co/A3v08gco8U,Additional Comment,NA,,,,,,
P:1582804643570413568,,,"@ThtKashmiriGuy I could look at Sachin, Ganguly and Dravid and VVS and know they repped India. Not sure about all this daari wale players.",Additional Comment,NA,,,,,,
P:1582804643570413568,,,@ThtKashmiriGuy 🤔,Additional Comment,NA,,,,,,
P:1582804643570413568,,,@ThtKashmiriGuy What else can be expected from them? They are just a bunch of rich chappris playing cricket. What they know about sacrifices made by real men? Even today's feminist girls will have more masculinity than these weak soft sensitive childrens.,Additional Comment,NA,,,,,,
P:1582804643570413568,,,@ThtKashmiriGuy Cricketers and bollywoodians are somewhat similar.,Additional Comment,NA,,,,,,
P:1582804643570413568,,,@ThtKashmiriGuy Ban cricket,Additional Comment,NA,,,,,,
P:1582804643570413568,,,@ThtKashmiriGuy @ImRo45 aur kitna chatoge ??,Additional Comment,NA,,,,,,
P:1582804643570413568,,,@puspakpatnaik @ThtKashmiriGuy Pehle maarte the kya? Itna pyaar kyon ISLAMIYON se? Jyaada jijya Dene ka Mann karta hai kya?,Additional Comment,NA,,,,,,
P:1582804643570413568,,,@ThtKashmiriGuy Exactly man. Where is the aggression. Everything is lost in this woke world i think.,Additional Comment,NA,,,,,,
P:1582804643570413568,,,@ThtKashmiriGuy True Bhai 👍,Additional Comment,NA,,,,,,
P:1582798965472649217,,FfW601vakAEjA0Z (32).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582798040943185920,,FfW601vakAEjA0Z (33).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582797985855180801,,FfW601vakAEjA0Z (34).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
P:1582797352061894656,,FfW601vakAEjA0Z (35).jpg,RT @ThtKashmiriGuy: Offering without any Caption https://t.co/b2XNhDTgrN,Caption,https://t.co/b2XNhDTgrN,,,,,,
